# Water withdrawals by subsector,,,,,
sector,subsector,var1,var2,var3,unit_conv
biomass,biomassTree_DanubeR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_DaugavaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_DniesterR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_DnkGrmCst,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_ElbeR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_MeditE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_NarvaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_NemanR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_OderR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_PolandCst,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_WislaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_DouroR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_EbroR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_EmsWeserR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_EngWales,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Finland,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_FranceCstS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_FranceCstW,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Gironde,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_GuadalqR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_GuadianaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_IberiaCst,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Ireland,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_ItalyCstE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_ItalyCstW,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_LoireR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_MeditIsl,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_NevaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_PoR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_RhineR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_RhoneR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_ScheldtR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Scotland,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_SeineR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_SpainCstSE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Sweden,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_TagusR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_TiberR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_DouroR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_EbroR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_EmsWeserR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_EngWales,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Finland,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_FranceCstS,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_FranceCstW,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Gironde,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_GuadalqR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_GuadianaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_IberiaCst,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Ireland,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_ItalyCstE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_ItalyCstW,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_LoireR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_MeditIsl,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_NevaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_PoR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_RhineR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_RhoneR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_ScheldtR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Scotland,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_SeineR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_SpainCstSE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Sweden,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_TagusR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_TiberR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
