"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 7.1","Reference","Middle East","Agricultural Demand","million t DM/yr",96.4284129979232,109.012359736675,131.795416010006,145.198893870255,159.435860501741,176.737200145429,194.432070895765,213.090899073437,232.020742839452,249.86291387399,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Pakistan","Agricultural Demand","million t DM/yr",55.6709258715887,65.3210186093142,75.8129166090787,84.7197378953712,92.5990167133319,102.101868622637,112.083790805156,122.677253930896,133.76831546011,144.731855061382,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Russia","Agricultural Demand","million t DM/yr",89.6796899605012,98.3406436812083,109.063694614406,110.887935760742,112.30466845509,114.510629265526,117.136567752226,121.701125383355,127.569785413112,132.889955248155,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","South Africa","Agricultural Demand","million t DM/yr",22.7787141159343,24.0693122209596,26.796310127277,28.0329087146841,29.6238402853554,31.6963506411123,33.6667909225055,35.6569351130146,37.6365879497398,39.4806143652278,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","South America_Northern","Agricultural Demand","million t DM/yr",12.3712150218884,15.9253874801047,14.1980822709707,12.2023743646274,12.6974677306618,13.6720969847446,14.6199835260543,15.5110462296504,16.3582457689753,17.1939815044452,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","South America_Southern","Agricultural Demand","million t DM/yr",39.7348486192682,47.496884666649,55.752016495779,60.2244901193647,65.0837995394629,70.0559170942795,74.5899893962709,79.2236150440944,83.7645997041636,87.6677869364584,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","South Asia","Agricultural Demand","million t DM/yr",73.3672673078164,90.3259876292662,107.677338239465,119.407728403201,132.017166493654,144.699645191534,157.118604341742,169.540055787779,181.791109872454,193.625416668273,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","South Korea","Agricultural Demand","million t DM/yr",28.0446684949134,33.9169309136285,38.3278325380284,40.6272931714892,41.7109847112702,42.5118138337962,43.1060302402627,44.894983012237,47.7748622276111,50.4300649271206,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Southeast Asia","Agricultural Demand","million t DM/yr",232.58410307216,269.693831234952,293.132142551563,329.201214499247,365.991468570172,401.956025795,438.974429054768,483.749309128376,535.01685128704,581.498172799064,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Taiwan","Agricultural Demand","million t DM/yr",14.4705714346145,14.2794498838301,14.8872700214852,15.3880464521949,15.6690986641593,15.9136017263596,16.6276000353288,18.5984457201649,22.105115454349,25.8239491243716,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","USA","Agricultural Demand","million t DM/yr",370.714036629883,401.962107019034,448.434240371279,489.399321346864,504.440799497294,512.164455881109,514.925805007955,532.838661272093,585.580186335268,631.633792471452,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","World","Agricultural Demand","million t DM/yr",3718.35108694072,4241.50015621674,4726.05879966326,5145.92320739596,5529.64933769171,5896.40566673481,6232.16952725002,6614.95803461038,7069.16971748056,7484.07247641063,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Africa_Eastern","Agricultural Demand|Crops","million t DM/yr",56.3851429277572,67.5157216362406,78.7376348389778,89.3428200153552,101.502481559623,115.70299749833,131.090164176364,147.847358353836,166.024597180125,185.55309985036,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Africa_Northern","Agricultural Demand|Crops","million t DM/yr",76.5473048358447,97.3799832773734,113.626404169765,125.056889463876,136.258562783833,148.511335548545,159.899237744453,170.52488976275,180.221380778478,188.876068176044,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Africa_Southern","Agricultural Demand|Crops","million t DM/yr",37.4734788759333,45.1595221957378,52.4362524240983,58.9275835113467,67.2422545752722,76.9326921004946,87.2227882746672,98.775312701328,111.683727221429,125.796928219702,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Africa_Western","Agricultural Demand|Crops","million t DM/yr",137.015309304271,167.370076165465,203.449680497009,229.217313784019,259.900475440166,298.982092639055,341.94566844521,388.945644495023,439.776645976691,493.929482478712,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Argentina","Agricultural Demand|Crops","million t DM/yr",23.7432423930517,27.7275497030431,40.6243240685186,42.0222738837872,44.5978540019991,46.8832451993584,48.9237223186892,50.8740525928184,52.8284907499959,54.8813827557601,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Australia_NZ","Agricultural Demand|Crops","million t DM/yr",25.4331672127899,25.0970046745208,27.7871229957351,31.5762653536617,35.0979460699489,38.162574856986,40.884969459266,44.4941067288167,48.4592606694895,52.1333826081201,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Brazil","Agricultural Demand|Crops","million t DM/yr",194.267937625015,246.868905825916,253.687349314664,270.260160060641,284.471309405611,297.576040503677,307.577336131869,330.73569636486,368.723003681681,404.608015411237,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Canada","Agricultural Demand|Crops","million t DM/yr",33.7225097202878,36.1141258396652,39.6401264969506,45.1796975958204,48.62287336343,51.229766179153,54.1688626235184,58.985842617299,64.6500448131003,69.3228749276659,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Central America and Caribbean","Agricultural Demand|Crops","million t DM/yr",39.8577364504119,39.1617895345227,41.4455640364038,43.8933122498339,47.0214891889052,50.5640571749152,54.5357464964646,59.453698498489,65.4904352792397,71.8011138554127,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Central Asia","Agricultural Demand|Crops","million t DM/yr",36.4491359321438,43.6311158443063,47.51186205475,51.4986665343726,55.1941294646141,58.617527024541,61.7460179888757,64.7658920598478,67.5922513339615,69.7737829170174,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","China","Agricultural Demand|Crops","million t DM/yr",718.013491378778,833.314494818841,938.290135738207,1011.75797730854,1073.79074268379,1118.30866042889,1144.14772249139,1157.19944268456,1159.91408637437,1152.94282726648,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Colombia","Agricultural Demand|Crops","million t DM/yr",22.5979840731701,23.5219494456013,27.0583213210158,29.6183840543452,32.4038853429779,35.0174100024075,37.8711433346486,41.0777304410147,44.3170637908222,47.1229715044834,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Crops","million t DM/yr",79.4411347085122,76.625675186274,77.1757210397599,82.1756725937344,85.0378767885413,87.0014013486984,88.4534553920925,90.4935235912867,93.2733395866119,95.8568297894144,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Crops","million t DM/yr",300.197061813375,317.963163899917,334.511065853291,347.912283773865,356.554628549778,363.141343318453,368.461642170808,380.784586817354,404.386988750418,427.641602103308,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Europe_Eastern","Agricultural Demand|Crops","million t DM/yr",50.6407381167807,52.0246925522419,51.5663086674232,52.637702317873,53.6476723233513,54.7585871148428,55.7644702820383,56.6936019766506,57.411733897997,57.8872282836167,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Europe_Non_EU","Agricultural Demand|Crops","million t DM/yr",65.305714067452,67.6168368343907,76.2316792939602,81.3111911678773,86.4094809149793,91.0996089410942,95.3110697290759,99.40820385173,103.356630379815,106.800166637125,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","European Free Trade Association","Agricultural Demand|Crops","million t DM/yr",5.43776274412756,5.93301077954871,6.64540798920689,7.03816593682735,7.37992629628665,7.69111542051818,7.98649365464963,8.582930190759,9.51996680307665,10.3908746482135,0,0,0,0,0,0,0,0,0,0
